neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price_capped,log_price_capped,euclid_distance_manhattan
Brooklyn,Kensington,-1.034983227219938,-0.356410256410089,Private room,149,-0.5,0.17391304347826086,-0.2786885245901639,6,1.4096916299559472,149.0,5.003946305945459,0.14353420846613846
Manhattan,Midtown,0.4181556787840903,-0.6,Entire home/apt,225,-0.5,1.7391304347826086,-0.18579234972677594,2,1.3656387665198237,225.0,5.41610040220442,0.041128035450294476
Manhattan,Harlem,1.1766961046073372,0.2946581196580947,Private room,150,0.0,-0.21739130434782608,,1,1.4096916299559472,150.0,5.0106352940962555,0.030472682848730687
Brooklyn,Clinton Hill,-0.5194769630999861,-0.08696581196577531,Entire home/apt,89,-0.5,11.521739130434783,2.14207650273224,1,0.6563876651982379,89.0,4.48863636973214,0.10596823675045573
Manhattan,East Harlem,1.0327924967481346,0.25000000000007594,Entire home/apt,80,1.75,0.17391304347826086,-0.33879781420765026,1,-0.19823788546255505,80.0,4.382026634673881,0.023666858684660882
Manhattan,Murray Hill,0.3366878893680735,-0.41260683760658684,Entire home/apt,200,0.0,3.0,-0.07103825136612021,1,0.3700440528634361,200.0,5.298317366548036,0.044077124452488126
Brooklyn,Bedford-Stuyvesant,-0.4956527692202675,-0.005769230769239528,Private room,60,10.5,1.9130434782608696,-0.17486338797814205,1,-0.19823788546255505,60.0,4.0943445622221,0.10454259419011676
Manhattan,Hell's Kitchen,0.5724652563839211,-0.6247863247862949,Private room,79,-0.25,18.47826086956522,1.5027322404371584,1,0.7709251101321586,79.0,4.3694478524670215,0.03193557577374231
Manhattan,Upper West Side,1.077565550763342,-0.24658119658109862,Private room,79,-0.25,4.913043478260869,0.14754098360655737,1,-0.19823788546255505,79.0,4.3694478524670215,0.01091161307965131
Manhattan,Chinatown,-0.13199151091948916,-0.7410256410254503,Entire home/apt,150,-0.5,6.739130434782608,0.33333333333333337,4,0.6299559471365639,150.0,5.0106352940962555,0.08108398423856952
Manhattan,Upper West Side,1.096460601081649,-0.2085470085469878,Entire home/apt,135,0.5,2.0869565217391304,-0.15846994535519124,1,-0.17180616740088106,135.0,4.90527477843843,0.012296751603570877
Manhattan,Hell's Kitchen,0.5159170260833299,-0.7047008547006762,Private room,85,-0.25,7.956521739130435,0.4262295081967213,1,-0.02643171806167401,85.0,4.442651256490317,0.037474958305519765
Brooklyn,South Slope,-0.7501882658999951,-0.6858974358973638,Private room,89,0.25,7.043478260869565,0.3387978142076503,3,1.1850220264317182,89.0,4.48863636973214,0.12446181824158313
Manhattan,Upper West Side,1.0293694803861,-0.11623931623915533,Private room,85,-0.25,4.695652173913044,0.10382513661202189,1,1.2687224669603525,85.0,4.442651256490317,0.009052209674987334
Manhattan,West Village,0.1673170397754458,-1.0589743589742462,Entire home/apt,120,21.75,0.9565217391304348,-0.27322404371584696,1,-0.19823788546255505,120.0,4.787491742782046,0.0678283311013963
Brooklyn,Williamsburg,-0.20141028274117112,0.046367521367659245,Entire home/apt,140,-0.25,6.217391304347826,0.2622950819672131,1,0.004405286343612335,140.0,4.941642422609304,0.08352900873349108
Brooklyn,Fort Greene,-0.42979393441504715,-0.345299145299096,Entire home/apt,215,-0.25,8.391304347826088,0.5464480874316939,1,1.2158590308370043,215.0,5.3706380281276624,0.09935958232601416
Manhattan,Chelsea,0.25795851304166495,-0.84017094017063,Private room,140,-0.5,11.08695652173913,0.7650273224043717,1,-0.14537444933920704,140.0,4.941642422609304,0.056723650270412346
Brooklyn,Crown Heights,-0.6457178065312102,0.18696581196592713,Entire home/apt,99,0.0,2.0869565217391304,2.032786885245902,1,-0.10572687224669604,99.0,4.59511985013459,0.11661514481404395
Manhattan,East Harlem,1.0100636681043178,0.1489316239318163,Entire home/apt,190,1.0,-0.21739130434782608,,2,0.8986784140969163,190.0,5.247024072160486,0.018654353379303528
Brooklyn,Williamsburg,-0.06380502498803849,-0.03183760683738526,Entire home/apt,299,0.0,0.17391304347826086,-0.35519125683060104,1,-0.19823788546255505,299.0,5.700443573390687,0.07306407325081052
Brooklyn,Park Slope,-0.5804066543438922,-0.4566239316236802,Private room,130,-0.25,5.434782608695652,0.20218579234972683,6,1.330396475770925,130.0,4.867534450455582,0.11072434104568202
Brooklyn,Park Slope,-0.5913603067023252,-0.47628205128196466,Private room,80,-0.5,1.4782608695652173,-0.1912568306010929,6,1.4052863436123348,80.0,4.382026634673881,0.11161234922713649
Brooklyn,Park Slope,-0.5897172588485213,-0.490598290598192,Private room,110,-0.25,2.869565217391304,-0.06010928961748633,6,1.1409691629955947,110.0,4.700480365792417,0.11156457591906002
Brooklyn,Bedford-Stuyvesant,-0.5390566166907194,0.32927350427353186,Entire home/apt,120,-0.25,3.608695652173913,0.005464480874316944,2,0.8281938325991189,120.0,4.787491742782046,0.1103265629846238
Brooklyn,Windsor Terrace,-0.9186006709112453,-0.41666666666648955,Private room,60,-0.5,0.6086956521739131,0.35519125683060115,2,0.1762114537444934,60.0,4.0943445622221,0.13519605097782814
Manhattan,Inwood,1.9779557746286096,0.6260683760684493,Private room,80,0.25,-0.21739130434782608,,1,-0.19823788546255505,80.0,4.382026634673881,0.08645513113748222
Manhattan,Hell's Kitchen,0.6034093242965628,-0.6333333333332827,Entire home/apt,150,1.75,2.3043478260869565,-0.1256830601092896,1,0.13215859030837004,150.0,5.0106352940962555,0.030371160662714683
Manhattan,Inwood,1.940713356609898,0.7399572649573425,Private room,44,0.0,4.478260869565218,0.21311475409836073,3,1.171806167400881,44.0,3.784189633918261,0.08671725318527908
Manhattan,East Village,0.08379544054214981,-0.6352564102563626,Entire home/apt,180,2.75,1.0434782608695652,-0.2622950819672131,1,0.09691629955947137,180.0,5.19295685089021,0.06456508654064269
Manhattan,Harlem,1.3605805435750542,0.09935897435892278,Private room,50,0.0,10.304347826086957,0.7213114754098361,3,1.3656387665198237,50.0,3.912023005428146,0.0350903419761019
Manhattan,Harlem,1.2318751283630756,0.022008547008546684,Private room,52,-0.25,3.608695652173913,0.3825136612021858,1,0.9251101321585903,52.0,3.9512437185814275,0.025068907036398278
Brooklyn,Greenpoint,-0.012185938248859033,0.38611111111125873,Private room,55,0.25,8.347826086956522,0.5081967213114753,3,1.052863436123348,55.0,4.007333185232471,0.07449397626654296
Manhattan,Harlem,1.3448346683097336,0.05363247863249258,Private room,50,0.0,11.652173913043478,0.9016393442622951,3,1.3832599118942732,50.0,3.912023005428146,0.03315008898931861
Brooklyn,Bedford-Stuyvesant,-0.5474087766139711,0.020512820512952872,Private room,70,-0.5,3.0,-0.032786885245901606,2,0.986784140969163,70.0,4.248495242049359,0.1084298339941519
Brooklyn,South Slope,-0.7447114397207785,-0.6861111111108033,Private room,89,0.25,7.086956521739131,0.3770491803278688,3,1.2995594713656389,89.0,4.48863636973214,0.1240695131770921
Brooklyn,Bedford-Stuyvesant,-0.46991168617789125,0.26858974358994897,Private room,35,14.25,-0.21739130434782608,,1,1.4096916299559472,35.0,3.5553480614894135,0.10475942916988282
Brooklyn,Bushwick,-0.2905456288081106,0.6034188034189774,Entire home/apt,85,-0.25,9.826086956521738,0.6775956284153005,2,-0.1013215859030837,85.0,4.442651256490317,0.09718654279271113
Brooklyn,Flatbush,-1.1783391524612383,-0.16196581196558552,Private room,150,-0.5,-0.21739130434782608,,1,1.4096916299559472,150.0,5.0106352940962555,0.15391182962982497
Manhattan,Lower East Side,-0.1241870336140423,-0.7153846153844869,Shared room,40,-0.5,9.08695652173913,0.5956284153005464,4,0.6299559471365639,40.0,3.6888794541139363,0.08019067900947215
Manhattan,East Village,-0.002464571780657188,-0.5619658119655855,Private room,68,-0.25,10.434782608695652,0.7431693989071039,2,0.22466960352422907,68.0,4.219507705176107,0.06976423223973588
Brooklyn,South Slope,-0.8256315465188931,-0.5121794871792527,Entire home/apt,120,0.0,0.43478260869565216,-0.180327868852459,1,1.3215859030837005,120.0,4.787491742782046,0.1288043555164217
Brooklyn,Fort Greene,-0.3607859245567432,-0.4305555555555345,Private room,120,1.0,0.8695652173913043,-0.26775956284153,1,1.171806167400881,120.0,4.787491742782046,0.09464197007670493
Manhattan,Upper West Side,0.9175053056753436,-0.5038461538460078,Private room,135,0.25,3.3043478260869565,-0.016393442622950834,1,1.0044052863436124,135.0,4.90527477843843,0.012895464318905774
Manhattan,Harlem,1.2140754432806702,0.23311965811984336,Entire home/apt,150,1.0,4.0,0.06557377049180327,1,1.1629955947136563,150.0,5.0106352940962555,0.030035760353286596
Brooklyn,Prospect-Lefferts Gardens,-0.871363045115478,-0.14294871794853012,Entire home/apt,150,6.5,0.2608695652173913,-0.1256830601092896,1,0.22026431718061673,150.0,5.0106352940962555,0.13152145072193
Queens,Long Island City,0.3372355719859757,0.1771367521367849,Private room,130,0.0,10.565217391304348,0.8360655737704917,1,0.748898678414097,130.0,4.867534450455582,0.04718449003645057
Brooklyn,Bedford-Stuyvesant,-0.5746559868557244,-0.004700854700828099,Entire home/apt,110,1.0,2.4347826086956523,-0.10928961748633877,1,0.9691629955947136,110.0,4.700480365792417,0.11029000045335312
Brooklyn,Bedford-Stuyvesant,-0.5140001369206723,0.31602564102571595,Entire home/apt,115,0.0,0.2608695652173913,-0.33879781420765026,1,-0.19823788546255505,115.0,4.74493212836325,0.10840193540707264
Brooklyn,Fort Greene,-0.4334907920860329,-0.3861111111109551,Private room,80,0.0,5.6521739130434785,0.24043715846994532,2,0.6475770925110133,80.0,4.382026634673881,0.09975189221262944
Brooklyn,Bedford-Stuyvesant,-0.5839665913603537,0.3493589743589987,Private room,80,-0.5,4.6521739130434785,0.15846994535519127,3,0.9074889867841409,80.0,4.382026634673881,0.11373594198844715
Manhattan,Upper West Side,0.8662969808995421,-0.30747863247842455,Entire home/apt,151,-0.25,2.9565217391304346,-0.04918032786885244,1,1.13215859030837,151.0,5.017279836814924,0.005851914216736025
Brooklyn,Williamsburg,-0.25850619565966443,0.42927350427368366,Entire home/apt,228,0.0,3.347826086956522,-0.010928961748633888,1,0.4185022026431718,228.0,5.429345628954441,0.09200831484164913
Brooklyn,Greenpoint,0.16403094406783802,0.03782051282067146,Entire home/apt,144,-0.25,14.043478260869565,1.147540983606557,1,0.8325991189427313,144.0,4.969813299576001,0.05721761966387886
Manhattan,Kips Bay,0.22632984185659683,-0.5352564102562107,Entire home/apt,200,1.0,0.6086956521739131,-0.27322404371584696,1,0.933920704845815,200.0,5.298317366548036,0.05325692161588282
Brooklyn,Williamsburg,-0.19538577394405235,-0.07713675213663308,Entire home/apt,150,6.75,4.3478260869565215,0.09836065573770494,1,-0.06607929515418502,150.0,5.0106352940962555,0.08239646897774237
Manhattan,Lower East Side,-0.04162387896222109,-0.7553418803416776,Private room,110,0.5,0.6086956521739131,-0.30054644808743164,1,1.1277533039647578,110.0,4.700480365792417,0.07502179150087468
Manhattan,Hell's Kitchen,0.44129526939138247,-0.7957264957263542,Private room,69,-0.25,12.347826086956522,0.9672131147540984,2,1.0969162995594715,69.0,4.23410650459726,0.0443901903577848
Brooklyn,Greenpoint,0.012733620866663945,0.38055555555545856,Private room,49,0.25,5.782608695652174,0.2568306010928961,3,1.2114537444933922,49.0,3.8918202981106265,0.07271631522567211
Manhattan,SoHo,-0.013418224139187626,-0.8987179487176937,Entire home/apt,180,6.75,0.6956521739130435,-0.22950819672131145,1,0.4801762114537445,180.0,5.19295685089021,0.07560596867973211
Brooklyn,Williamsburg,-0.15376189498192855,-0.13568376068369678,Private room,80,-0.25,1.608695652173913,-0.18579234972677594,1,0.960352422907489,80.0,4.382026634673881,0.07917014652001274
Manhattan,Chelsea,0.316971315122816,-0.8463675213673556,Entire home/apt,375,44.25,0.0,-0.32786885245901637,1,0.5947136563876652,375.0,5.926926025970411,0.053203560971054706
Manhattan,Upper East Side,0.6513315533648538,0.06410256410256021,Entire home/apt,250,-0.25,2.652173913043478,-0.0819672131147541,2,0.8193832599118943,250.0,5.521460917862246,0.02445458239266387
Brooklyn,Prospect Heights,-0.615732183199946,-0.18354700854694983,Entire home/apt,200,6.75,6.0,0.33333333333333337,2,1.1101321585903083,200.0,5.298317366548036,0.11280992199270794
Brooklyn,Clinton Hill,-0.4529335250223393,-0.2604700854698399,Private room,55,1.0,0.9565217391304348,-0.26775956284153,2,1.0881057268722467,55.0,4.007333185232471,0.10091085372743896
Manhattan,Hell's Kitchen,0.5026357225987638,-0.7585470085469119,Private room,52,6.75,8.08695652173913,0.5081967213114753,1,0.6431718061674009,52.0,3.9512437185814275,0.03977909249845184
Brooklyn,Park Slope,-0.6798110494968383,-0.5916666666664516,Entire home/apt,225,0.0,-0.043478260869565216,-0.3060109289617486,1,-0.19823788546255505,225.0,5.41610040220442,0.11869086443361804
Manhattan,East Village,0.04668994317786508,-0.49893162393143675,Private room,80,-0.5,14.478260869565217,2.1857923497267757,2,0.11894273127753303,80.0,4.382026634673881,0.06563853822260528
Brooklyn,Williamsburg,-0.1882658999110319,-0.26132478632481193,Entire home/apt,275,-0.5,6.217391304347826,0.3715846994535519,1,1.39647577092511,275.0,5.616771097666572,0.08158416084020181
Manhattan,East Village,-0.0013692065448527879,-0.6207264957263923,Private room,99,-0.5,4.391304347826087,0.29508196721311475,2,1.2819383259911894,99.0,4.59511985013459,0.07035255503533935
Manhattan,East Harlem,1.0756486616005871,0.35192307692300395,Entire home/apt,225,0.25,8.043478260869565,0.5027322404371584,1,0.748898678414097,225.0,5.41610040220442,0.02922498930708555
Manhattan,East Village,-0.0199904155542086,-0.5211538461537264,Entire home/apt,230,1.5,1.9130434782608696,-0.15846994535519124,1,0.31277533039647576,230.0,5.438079308923196,0.07061770882717801
